RRT cross
8.9416836 1377.6045851332951
10.2350351 1380.8722795215076

Lazy_DT_RRT_Star maze
50.1618931 1266.3336138936054
5.4538935 1266.3336138936054
10.0792306 1266.3336138936054
4.95402 1266.3336138936054
8.6418231 1266.3336138936054
16.2673021 1266.3336138936054
73.9309206 1222.9235818032175
70.8825187 1239.711546640869
91.8383984 1235.918184003578
31.0652029 1235.918184003578

RRT narrow_pass
75.0708975 1981.400595205182
6.4699049 1985.4070280629803
0.062504 1990.506047576573
2.5158637 1985.5663727060098
1.4375951 2000.506047576573
0.7812967 1994.9781835315728
0.5156637 1994.111598852037
1.7813681 2004.111598852037
1.1563265 1998.1404611917412
22.5027231 1996.3476668295368

RRT_Star narrow_pass
587.1876055 1651.1514686299552
3.8752591 1655.9028995545166
12.8918875 1659.660101344922
10.1422219 1659.2102746984915
15.2677699 1651.0125602573535
153.0803749 1648.193590822038
17.2079837 1647.9929527620889
154.0946928 1647.3670272514282
492.6474315 1645.333633439355
247.0055642 1642.8694737002656

Q_RRT_Star narrow_pass
582.7100384 1657.7316532092573
35.0861316 1651.1960813894532
55.7561502 1655.5084168265935
30.7104287 1654.4311439209462
182.0915363 1644.7039156931785
68.3232059 1645.4970992519416
41.0364481 1650.763998249127
67.8256389 1643.1555118831395
32.019096 1646.757029107838
23.6422521 1647.5564405051027

DT_RRT_Star narrow_pass
171.5017519 787.9817492551074
163.693484 789.1894667625213
223.1783403 785.7190613440202
189.330616 786.6786636019691
120.4670201 786.5220627965632
144.5409937 791.2370087974531
161.3332506 791.5827850915535
102.5259001 788.6971378345206
129.2195009 775.8296607672634
123.8100159 775.2928073367781

Lazy_DT_RRT_Star narrow_pass
185.7778384 1642.9902680634991
202.058216 1642.9902680634991
173.023088 1642.9902680634991
205.0072724 1642.9902680634991
131.6857268 1642.9902680634991
240.3655043 1642.9902680634991
125.311833 1642.9902680634991
223.4665793 1642.9902680634991
258.533887 1647.540445814901
158.4542153 1647.540445814901

RRT narrow_pass_2
0.218759 547.594311677619
0.2968949 557.594311677619
1.0313182 571.4844509840061
2.0626365 551.7174173032366
0.9688147 549.8303796551188
2.2188965 566.2849224649583
0.1718863 574.6467286441745
0.4219031 552.9794764847535
0.5312851 557.9794764847535
4.4065418 561.1417541449218

RRT_Star narrow_pass_2
8.1100985 407.03662598525415
14.8386844 410.02834920264416
31.3559945 401.5755737367938
8.6428305 400.6097219373183
90.3857238 398.604176559357
11.6882921 399.2960325865742
29.4735808 398.8538473599481
25.7050263 403.89137953354884
22.2045945 400.25199030595627
24.4248921 402.1316102996924

Q_RRT_Star narrow_pass_2
21.0485826 413.03214837434194
1.4844724 412.4032503491218
54.1173493 407.14601407870634
5.5472449 403.8535661289415
38.5211222 403.495208221276
2.0782611 403.17804707919566
51.6401827 403.4486428129745
39.8501549 400.3829271889262
6.6731305 397.073728716074
7.3297151 397.37547818175875

DT_RRT_Star narrow_pass_2
1.9532492 402.14979673015716
2.1563926 403.3917009546362
2.0470709 395.6406684346702
2.5324494 398.33544117926476
1.2969609 401.9535575139013
1.7032378 396.902024002471
8.1724215 395.6069461058202
1.7192629 397.07683205328016
0.4844013 400.9863508988176
1.0313241 400.4685924391139

Lazy_DT_RRT_Star narrow_pass_2
0.4844013 400.4996878900157
0.2500167 400.4996878900157
0.6875453 400.4996878900157
0.3437733 400.4996878900157
0.546911 400.4996878900157
1.7501157 400.4996878900157
3.6564918 400.4996878900157
0.2343908 400.4996878900157
2.9533205 400.4996878900157
0.98444 400.4996878900157

